business_description,domain_names,complexity
smart garden center in suburban area,"['smartgardensolutions.com', 'smartgardenshop.org', 'smartgardenspot.org']",medium
quantum cafe,"['quantumcafestore.com', 'quantumcafespot.com', 'quantumcafestudio.com']",simple
mythic clothing boutique,"['mythicclothgcorner.com', 'mythicclothgstore.io', 'mythicclothgshop.io']",simple
bright medical clinic in city center,"['brightmedicalhub.com', 'brightmedicalsolutions.com', 'brightmedicalbeans.co']",medium
arms platform,"['armsplatformhub.org', 'armsplatformworks.io', 'armsplatformstore.org']",complex
pirated service,"['piratedserviceshop.io', 'piratedservicespot.co', 'piratedserviceworks.io']",simple
global coffee shop in downtown,"['globalcoffeehub.co', 'globalcoffeehub.io', 'globalcoffeehub.org']",medium
cosmic cosmetics brand,"['cosmiccosmeticsstudio.com', 'cosmiccosmeticsworks.com', 'cosmiccosmeticslab.net']",simple
streaming marketplace,"['streamingcorner.net', 'streaminglab.io', 'streamingworks.io']",complex
stellar pet store in near the river,"['stellarpetstorestore.com', 'stellarpetstudio.io', 'stellarpetstorecorner.com']",medium
premium forge pet store in suburban area offering premium services,"['premiumforgeworks.com', 'premiumforgeworks.net', 'premiumforgeworks.org']",complex
cosmic coffee shop,"['cosmiccoffeehub.org', 'cosmiccoffeestudio.net', 'cosmiccoffeestore.com']",simple
global cafe,"['globalcafebeans.io', 'globalcafestudio.org', 'globalcafestore.com']",simple
quantum art gallery in suburban area,"['quantumartstore.co', 'quantumartspot.io', 'quantumartstudio.org']",medium
organic lab cosmetics brand in near the river specializing in community events,"['organiclabspot.com', 'organiclabstore.org', 'organiclabhub.io']",complex
cosmic forge of premium online stores,"['cosmicforgeworks.net', 'cosmicforgebeans.co', 'cosmicforgeworks.org']",medium
porn website,['__BLOCKED__'],medium
atomic cafe in near the river,"['atomiccafehub.com', 'atomiccafehub.org', 'atomiccafespot.com']",medium
atomic online store,"['atomiconlecorner.org', 'atomiconleshop.net', 'atomiconlestudio.com']",simple
dynamic fitness studio in downtown,"['dynamicfitnessstudio.io', 'dynamicfitnesshub.org', 'dynamicfitnessstore.net']",medium
vivid garden center in near the river,"['vividgardenspot.com', 'vividgardenspot.net', 'vividgardenspot.co']",medium
ethereal tech startup,"['etherealtechstore.io', 'etherealtechspot.org', 'etherealtechsolutions.com']",simple
bright cosmetics brand,"['brightcosmeticsstudio.org', 'brightcosmeticsstore.org', 'brightcosmeticsshop.org']",simple
cosmic forge educational platform in city center for busy professionals,"['cosmicforgehub.co', 'cosmicforgeworks.net', 'cosmicforgeworks.com']",complex
cosmic restaurant in neighborhood,"['cosmicrestaurantstudio.io', 'cosmicrestaurantspot.com', 'cosmicrestaurantworks.org']",medium
ethereal educational platform in neighborhood,"['etheraleducationalworks.com', 'etheraleducationalhub.co', 'etheraleducationalstore.org']",medium
quantum toy store,"['quantumtoystudio.com', 'quantumtoybeans.org', 'quantumtoyhub.co']",simple
eco-friendly cosmetics brand in near the river,"['cosmeticsstore.com', 'cosmeticslab.org', 'cosmeticsbeans.com']",medium
cosmic fitness studio,"['cosmicfitnesscorner.org', 'cosmicfitnessstudio.org', 'cosmicfitnesshub.net']",simple
global realm online store in city center offering premium services,"['globalrealmshop.org', 'globalrealmshop.net', 'globalrealmstore.com']",complex
global fitness apparel,"['globalfitnesshub.org', 'globalfitnesslab.co', 'globalfitnesshub.net']",simple
organic solutions cafe in downtown specializing in community events,"['organicsolutionsstore.com', 'organicsolutionsstudio.co', 'organicsolutionshub.net']",complex
vivid cafe in downtown,"['vividcafestore.co', 'vividcafeshop.co', 'vividcafelab.org']",medium
atomic deck online store in near the river offering premium services,"['atomicdeckspot.org', 'atomicdeckspot.com', 'atomicdeckstore.io']",complex
global spot online store in downtown for busy professionals,"['globalspotspot.net', 'globalspotspot.net', 'globalspotstore.com']",complex
marijuana store,"['marijuanaworks.org', 'marijuanastudio.org', 'marijuanastore.co']",complex
bright sanctum pet store in downtown offering premium services,"['brightsanctumhub.com', 'brightsanctumspot.org', 'brightsanctumshop.com']",complex
innovative music school,"['novativemusicstore.co', 'novativemusicstudio.io', 'novativemusicspot.net']",simple
tiny bookstore,"['tinybookstorehub.co', 'tinybookstoreworks.com', 'tinybookstorelab.com']",medium
dynamic fitness apparel in downtown,"['fitnessstore.co', 'fitnessstudio.org', 'fitnesslab.org']",medium
organic garden center in suburban area,"['organicgardensolutions.io', 'organicgardenspot.co', 'organicgardencorner.net']",medium
ethereal toy store,"['toyshopcorner.co', 'toyshophub.io', 'toystoreworks.com']",simple
innovative educational platform,"['novativeeducationalstore.net', 'novativeeducationalstudio.org', 'novativeeducationalshop.com']",simple
stellar travel agency,"['stellartravelsolutions.co', 'stellartravelbeans.co', 'stellartravelstudio.com']",simple
drugs service,"['drugsservicestudio.co', 'drugsservicespot.co', 'drugsservicespot.org']",complex
eco-friendly educational platform,"['educationalspot.com', 'educationalstudio.co', 'educationalcorner.com']",simple
organic software company,"['organicsoftwarehub.org', 'organicsoftwareworks.co', 'organicsoftwarestore.co']",simple
innovative educational platform,"['novativeeducationalspot.io', 'novativeeducationalhub.com', 'novativeeducationalsolutions.com']",simple
dynamic tower cafe in near the river for busy professionals,"['dynamictowersolutions.org', 'dynamictowerspot.co', 'dynamictowerlab.org']",complex
adult content store,"['__BLOCKED__', '__BLOCKED__', '__BLOCKED__']",complex
modern pet store in downtown,"['modernpetstorecorner.org', 'modernpetstorehub.com', 'modernpetstoreworks.io']",medium
vivid cosmetics brand in near the river,"['vividcosmeticsworks.com', 'vividcosmeticssolutions.co', 'vividcosmeticscorner.org']",medium
organic haven fitness apparel in near the river for busy professionals,"['organichavenworks.org', 'organichavenlab.io', 'organichavenworks.com']",complex
premium art gallery in near the river,"['premiumartlab.org', 'premiumartstudio.net', 'premiumartstudio.co']",medium
mythic nexus for innovative ideas,"['mynthicnexuslab.com', 'mynthicnexushub.org', 'mynthicnexusstudio.co']",medium
luminous clothing boutique in neighborhood,"['luminousclothgcorner.com', 'luminousclothgstudio.com', 'luminousclothgcorner.co']",medium
luminous fitness apparel in neighborhood,"['luminousfitnessstore.co', 'luminousfitnessstudio.net', 'luminousfitnesshub.net']",medium
premium online store,"['premiumonlespot.co', 'premiumonleworks.co', 'premiumonlehub.io']",simple
ethereal travel agency,"['etherealtravelsolutions.co', 'etherealtravellab.net', 'etherealtravelcorner.io']",simple
tiny bookstore,"['tinybookstorelab.io', 'tinybookstorespot.io', 'tinybookstorelab.org']",simple
quantum music school,"['quantummusicshop.com', 'quantummusicstudio.org', 'quantummusicstore.org']",simple
mythic cosmetics brand in near the river,"['mythiccosmeticsstore.io', 'mythiccosmeticsworks.com', 'mythiccosmeticsworks.io']",medium
bright arena educational platform in city center specializing in community events,"['brightarenastudio.net', 'brightarenastudio.io', 'brightarenashop.com']",complex
fresh law firm,"['freshlawlab.co', 'freshlawstore.net', 'freshlawsolutions.com']",simple
copyright website,"['copyrightworks.co', 'copyrightworks.co', 'copyrightworks.io']",medium
atomic music school in near the river,"['atomicmusicshop.net', 'atomicmusicspot.org', 'atomicmusicstore.io']",medium
dynamic coffee shop in suburban area,"['dynamiccoffeehub.com', 'dynamiccoffeebeans.com', 'dynamiccoffeehub.io']",medium
quantum bookstore in downtown,"['quantumbookstorelab.com', 'quantumbookstorestore.co', 'quantumbookstoreworks.net']",medium
artisan chocolate shop in historic downtown,"['artishanchocolatesolutions.com', 'artishanchocolatehub.com', 'artishanchocolatespot.com']",medium
family-run bakery specializing in sourdough,"['familyrunbakeryshop.co', 'familyrunbakerybeans.co', 'familyrunbakeryhub.com']",simple
eco-friendly landscaping services,"['landscapelab.com', 'landscapelab.org', 'landscapelab.net']",medium
independent coffee roaster with local blends,"['independentcoffeehub.com', 'independentcoffeecorner.org', 'independentcoffeestore.org']",simple
vintage clothing store with curated collections,"['vintageclothgstudio.co', 'vintageclothgshop.co', 'vintageclothgstore.co']",medium
high-end interior design consultancy,"['highendinteriormarket.io', 'highendinteriolab.org', 'highendinteriostore.io']",complex
mobile app development studio for small businesses,"['mobileappcorner.org', 'mobileappworks.co', 'mobileappsolutions.co']",complex
urban yoga and wellness center,"['urbanyogahub.org', 'urbanyogastudio.io', 'urbanyogahub.org']",medium
boutique florist for weddings and events,"['boutquefloristsolutions.com', 'boutquefloristspot.co', 'boutquefloristworks.com']",medium
artisan cheese shop in suburban market,"['artisancheeselab.org', 'artisancheeseshop.org', 'artisancheesestore.co']",medium
independent bookstore with reading events,"['independentbookstorehub.co', 'independentbookstorehub.com', 'independentbookstorespot.com']",simple
specialty tea shop with rare blends,"['specialteashop.org', 'specialteastudio.co', 'specialteestudio.org']",medium
local craft brewery with seasonal releases,"['localcraftstore.org', 'localcraftworks.net', 'localcraftworks.org']",medium
dog grooming and daycare in suburban area,"['doggroomingstore.co', 'doggroomingspot.co', 'doggroominghub.co']",simple
community-driven coworking space,"['communitycorners.org', 'coworkingspot.net', 'coworkingsolutions.com']",medium
premium handmade candle shop,"['premiumhandmadecandleworks.net', 'premiumhandmadecandleworks.io', 'premiumhandmadecandlespot.org']",medium
artisan pottery studio with workshops,"['artisanpotteryworks.co', 'artisanpotteryshop.io', 'artisanpotteryhub.org']",medium
local bike repair and rental shop,"['localbikesolutions.org', 'localbikestudio.io', 'localbikestore.io']",simple
independent record store with vinyl collection,"['independentrecordstorehub.net', 'independentrecordstoreworks.org', 'independentrecordstoresolutions.org']",medium
eco-conscious fashion label,"['fashionlabspot.net', 'fashionsolutions.org', 'fashionhub.org']",medium
urban photography studio,"['urbanphotographystore.co', 'urbanphotographystore.net', 'urbanphotographyhub.org']",medium
vintage furniture restoration workshop,"['vintagefurniturebeans.io', 'vintagefurniturehub.org', 'vintagefurnireshop.com']",medium
gourmet sandwich deli in downtown,"['gourmetsandwichstore.org', 'gourmetsandwichhub.net', 'gourmetsandwichshop.com']",simple
luxury spa and wellness retreat,"['luxuryspaworks.co', 'luxuryspastudio.co', 'luxuryspastudio.com']",complex
independent film production company,"['independentfilmlab.org', 'independentfilmsolutions.com', 'independentfilmshop.org']",complex
handmade jewelry boutique,"['handmadejewelryshop.io', 'handmadejewelrystore.net', 'handmadejewelrycorner.net']",medium
community theater group,"['communitytheaterstore.com', 'communitytheaterspot.com', 'communitytheatersolutions.org']",simple
organic skincare brand,"['organicskincareworks.co', 'organicskincareworks.co', 'organicskincarehub.co']",medium
tech-focused coworking space for startups,"['techfocusedcorner.org', 'techfocusedstudio.co', 'techfocusedspot.net']",complex
premium coffee subscription service,"['premiumcoffeehub.org', 'premiumcoffeehub.io', 'premiumcoffeehub.io']",medium
